Sigla da IES;Instituição;Patente;Autores
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MÉTODO DE COLHEITA DE MICROALGAS ATRAVÉS DE COAGULAÇÃO/FLOCULAÇÃO UTILIZANDO FLOCULANTE VERDE A BASE DE QUITINA SOLUBILIZADA EM MEIO AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'VIVIANE DE CARVALHO ARABIDIAN', 'ANDREI VALLERAO IGANSI', 'FILIPE ECHART DE OLIVEIRA', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'FABIO FELIPE GABRIEL ROSELET', 'ELIEZER QUADRO ORESTE', 'FELIPE KESSLER']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;SISTEMA DE MONITORAMENTO E CONTROLE ANTI-APNEIA OBSTRUTIVA DO SONO ATRAVÉS DE MECANISMO INTRABUCAL E MECANISMO INTRABUCAL RELACIONADO;['CESAR AUGUSTO MISSIO MARCON', 'SAMUEL KAFER RICARDO FONTOURA', 'NICOLE ARGENTA PIMENTEL', 'GUILHERME WOLFF', 'ALINE TEMPEL COSTA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSIÇÃO, PROCESSO DE OBTENÇÃO DA COMPOSIÇÃO, MÉTODO DE APLICAÇÃO DA COMPOSIÇÃO E USO DA COMPOSIÇÃO;['GABRIEL FERNANDES PAULETTI', 'RAFAELA MENEGUZZO', 'WENDEL PAULO SILVESTRE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE ÓLEO LUBRIFICANTE USADO (OLU) EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ARIANE BORGES RIBEIRO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'ALICE NERI DA SILVA SOUSA', 'RAFAEL GERHARDT', 'BRUNA SILVA DE FARIAS', 'ROMULO HENRIQUE BATISTA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE EDIÇÃO GÊNICA POR CRISP/CAS9 PARA GERAÇÃO DE LINHAGENS CELULARES SUÍNAS COM KNOCKOUT DE GENES RELACIONADOS AO CÂNCER DE BEXIGA;['FABIANA KOMMLING SEIXAS', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL', 'BRUNA SILVEIRA PACHECO', 'TIAGO VEIRAS COLLARES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PRODUTO DE ADUBAÇÃO FOLIAR PARA PLANTAS DE SOJA;['TIAGO ZANATTA AUMONDE', 'BENHUR SCHWARTZ BARBOSA', 'LUCIANA DALLEGRAVE SCHROEDER', 'TIAGO PEDO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COOLING SYSTEM AND METHOD FOR BATTERY CELL;['GIOVANI DAMBROS TELLI', 'SYVIE LORENTE', 'GUNGOR, SAHIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE NANOEMULSÕES PICKERING DE NANOFIBRAS DE QUITINA COM EXTRATO BIOATIVO DE RESÍDUO DE LÚPULO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'GABRIEL COSTA COELHO', 'LISIANE BALDEZ DA CUNHA', 'MICHELI LEGEMANN MONTE', 'BRUNA SILVA DE FARIAS', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO PARA OBTENÇÃO DE FILME DENSO ULTRAFINO, COMPOSIÇÃO DE FILME POLIMÉRICO DENSO ULTRAFINO E USO DOS FILMES PARA SEPARAÇÃO DE GASES;['NILSON ROMEU MARCILIO', 'ISABEL CRISTINA TESSARO', 'LILIANE DAMARIS POLLO', 'JANICE BOTELHO SOUZA HAMM', 'ALAN AMBROSI']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;HYDRAULIC CEMENT COMPOSITION, PROCESS AND USE;['SANDRA MARA OLIVEIRA EINLOFT', 'DELLYO RICARDO DOS SANTOS ALVARES', 'RENAN BORDULIS MARTEL', 'GABRIELA GONCALVES DIAS PONZI', 'DARLAN PONTIN', 'AMANDA SOFIA DE GUIMARAES E STEPANHA', 'VICTOR HUGO JACKS MENDES DOS SANTOS', 'SONIA MARIA CABRAL DE MENEZES', 'FELIPE DALLA VECCHIA', 'MARTA KERBER SCHUTZ']
UPF;UNIVERSIDADE DE PASSO FUNDO;CONFIGURAÇÃO APLICADA A/EM RETINÓGRAFO;['ANA CAROLINA BERTOLETTI DE MARCHI', 'HENRIQUE SOARES ZANIN', 'PAMELA DE MATOS', 'DANIELA DE LINHARES GARBIN HIGUCHI', 'ANA LUISA SANT ANNA ALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODO PARA DETECÇÃO SIMULTÂNEA DE PATÓGENOS BACTERIANOS FASTIDIOSOS PARA O DIAGNÓSTICO DE MASTITE BOVINA;['FRANCIELE MABONI SIQUEIRA', 'GABRIELA MERKER BREYER']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;NANOPLAQUETA FUNCIONALIZADA, PROCESSO DE OBTENÇÃO DA NANOPLAQUETA FUNCIONALIZADA, USO DA NANOPLAQUETA FUNCIONALIZADA, REVESTIMENTO EM PÓ, PROCESSO DE OBTENÇÃO DO REVESTIMENTO EM PÓ E USO DO REVESTIMENTO EM PÓ;['DIEGO PIAZZA', 'MARCOS VINICIUS MAROCCO', 'GUSTAVO ONZI CABERLON', 'DANIELE PERONDI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE OBTENÇÃO, REFINAMENTO E CONCENTRAÇÃO DO EXTRATO PIROLENHOSO E SEU USO NA AGRICULTURA, NUTRIÇÃO ANIMAL E BIOESTIMULAÇÃO DA COMPOSTAGEM E COMPOSIÇÃO REPELENTE;['ALEXANDRE MENEGHELLO FUENTEFRIA', 'MIRIAM ANDERS APEL']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SISTEMA E MÉTODO PARA DESLIGAMENTO SEGURO DE COMPUTADORES EM VEÍCULOS;['EDUARDO NUNES BORGES', 'PAULO RENATO PEREIRA DAS NEVES NETO', 'TIAGO RODRIGUES AZEVEDO', 'LETICIA CAROLINE SOUZA DE LIMA', 'MAIARA RODRIGUES CARIOLICK', 'SAMUEL FILIPE VASCONCELOS NUNES', 'JEFERSON SANTOS LOPES', 'LUCIANO SILVA DA SILVA', 'CEDENIR BORGES DA COSTA', 'ALICE TISSOT GARCIA', 'EVERSON DA SILVA FLORES', 'KARLA PRISCILA SCHREIBER', 'RAFAEL ALCESTE BERRI', 'THIAGO ALVES TEIXEIRA', 'VAGNER SANTOS DA ROSA', 'ALESSIO ALMADA DA COSTA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LARINGOSCÓPIO COM BOROSCÓPIO ACOPLÁVEL PARA USO EM PEQUENOS ANIMAIS E ROEDORES;['MARTIELO IVAN GEHRCKE', 'ANA CRISTINA B. KRAEMER MORAES', 'RAFAEL GUERRA LUND']
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;(RE)VISITANDO A CLASSIFICAÇÃO INTERNACIONAL DE FUNCIONALIDADE, INCAPACIDADE E SAÚDE (CIF);['EDNA LINHARES GARCIA', 'LARISSA ORCI CORREA', 'HENRIQUE ZIEMBOWICZ', 'ANA CAROLINA BIENERT', 'LUCAS VINICIUS FISCHER', 'ANA GABRIELA SAUSEN', 'GUILHERME MOCELIN', 'GABRIELE ZAWACKI', 'CAMILA DUBOW', 'CHARLENE DOS SANTOS SILVEIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FIBRAS ULTRAFINAS PRODUZIDAS COM ÓLEO DA MOSCA SOLDADO NEGRO E ZEÍNA POR ELECTROSPINNING;['ELESSANDRA DA ROSA ZAVAREZE', 'GABRIELLY QUARTIERI SEJANES', 'CLAUDIO MARTIN PEREIRA DE PEREIRA', 'ALVES, CRISTINA JANSEN']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LÍQUIDO PIROLENHOSO COMO REVESTIMENTO ANTICORROSIVO PARA METAIS;['RAFAEL BELTRAME', 'ANDRE LUIZ MISSIO', 'DARCI ALBERTO GATTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;USO DA PROTEÍNA RECOMBINANTE RCAM87009.1 DE ACINETOBACTER BAUMANNII COMO VACINA DE SUBUNIDADE;['AMILTON CLAIR PINTO SEIXAS NETO', 'STELLA BUCHHORN DE FREITAS', 'DAIANE DRAWANZ HARTWIG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE OBTENÇÃO DE CURATIVO DE MEMBRANAS POLIMÉRICAS BIORREABSORVÍVEIS E MEMBRANAS POLIMÉRICAS BIORREABSORVÍVEIS;['CARLOS PEREZ BERGMANN', 'ANNELISE KOPP ALVES', 'CHRISTIAN VIEZZER', 'FELIPE AMORIM BERUTTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;INVERSOR FOTOVOLTAICO NÃO-ISOLADO COM ESTRUTURA DE CONVERSOR CC-CC BOOST INTERLEAVED E CONVERSOR CC-CA TIPO MEIA-PONTE;['LEANDRO MICHELS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;GAIOLA DE INSETOS PARA BIOTERAPIA LARVAL;['SILVIA GONZALEZ MONTEIRO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÃO PARA PREVENÇÃO DA TRISTEZA PARASITÁRIA BOVINA;['FRANCISCO AUGUSTO BURKERT DEL PINO', 'NATALIA MACHADO RAHAL', 'MARCIO NUNES CORREA', 'EDUARDO SCHMITT', 'RUBENS ALVES PEREIRA', 'JOSIANE DE OLIVEIRA FEIJO', 'ANDRE RICARDO FAJARDO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO PARA OBTER UM MODELO DE REDE NEURAL ARTIFICIAL (RNA) PARA ESTIMATIVA DE CARBONO ORGÂNICO TOTAL (COT) A PARTIR DE DADOS HIPERESPECTRAIS DE AMOSTRAS DE ROCHA;['MAURICIO ROBERTO VERONEZ', 'LUIZ GONZAGA DA SILVEIRA JUNIOR']
UPF;UNIVERSIDADE DE PASSO FUNDO;DISPOSITIVO ANTININHO;['CHARLES LEONARDO ISRAEL', 'LEONARDO VIEIRA PERES', 'HERBER CUADRO FONTOURA', 'NILTON CESAR VIEGAS DA SILVA', 'CRISTIAN HANS CORREA', 'MARCELO FANK FRAGA', 'DIEGO DARCI LANGARO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO PARA OBTENÇÃO DE SENSOR VOLTAMÉTRICO QUIMICAMENTE MODIFICADO COM BIOCHAR DE CASCA DE ARROZ PARA DETERMINAÇÃO DE DICLOFENACO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'CAROLINE ATHAIDES MILER', 'ALICE NERI DA SILVA SOUSA', 'EDUARDO SILVEIRA RIBEIRO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'JULIANA VILLELA MACIEL', 'DAIANE DIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COMBINAÇÕES DE 8-HIDROXIQUINOLINAS-2,5,7- SUBSTITUÍDAS COM FÁRMACO PARA TRATAMENTO DE INFECÇÃO DO SISTEMA NERVOSO;['MARILENE HENNING VAINSTEIN', 'JULIA CATARINA VIEIRA REUWSAAT', 'JOÃO GABRIEL FANTINEL EBERHARDT', 'ANA PAULA PERIN', 'THAIS HELENA MACIEL FERNANDES', 'SAULO FERNANDES DE ANDRADE', 'LIVIA KMETZSCH ROSA E SILVA']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;SOLUÇÃO CONTENDO EXTRATO DE SCHINUS TEREBINTHIFOLIUS RADDI COMO INIBIDOR DA PROLIFERAÇÃO CELULAR E DOS MECANISMOS DE RESISTÊNCIA A MÚLTIPLAS DROGAS;['ANDRES DELGADO CANEDO', 'THAYS BARBOZA DA LUZ', 'TANIRA DA SILVEIRA PRIETO']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PROCESSO DE REVELAÇÃO DO SEXO DOS BEBES EM ATIVIDADES RECREATIVAS E TEMATICAS EMPREGANDO INDICADORES DE PH;['ROGERIO MARCOS DAL LAGO', 'LUCIANA DORNELLES VENQUIARUTO', 'MARCELO LUIS MIGNONI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PROCESSO PARA CONCENTRAR FITONUTRIENTES A PARTIR DE DESTILADO DESODORIZADO DE ÓLEO VEGETAL;['CRISTIANO AUGUSTO BALLUS', 'ELUIZE VAYNE MAZIERO', 'DANIEL ASSUMPCAO BERTUOL', 'EDUARDO HIROMITSU TANABE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODO E FERRAMENTA COMPUTACIONAL BASEADOS EM APRENDIZADO DE MÁQUINA PARA GERAÇÃO DE PADRÕES DE TESTES INDIRETOS DE CIRCUITOS ANALÓGICOS E DE SINAL MISTO;['MARCELO SOARES LUBASZEWSKI', 'ALLAN FABRICIO GARCIA FERREIRA', 'LUCAS BERNARDO ZILCH', 'TIAGO ROBERTO BALEN']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE PRODUÇÃO SIMPLES DE VACINAS RECOMBINANTES PARA CONTROLE DO BOTULISMO EM ANIMAIS E VACINAS OBTIDAS;['FELIPE MASIERO SALVARANI', 'CARLOS EDUARDO POUEY DA CUNHA', 'GUSTAVO MARCAL SCHMIDT GARCIA MOREIRA', 'CLOVIS MOREIRA JUNIOR', 'MARCELO MENDONCA', 'ANGELA NUNES MOREIRA', 'FABRICIO ROCHEDO CONCEICAO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE CONDUÇÃO FORÇADA EM TUBO DE SEMENTES;['FABRICIO ARDAIS MEDEIROS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DESTILAÇÃO SIMPLES (COM RECIRCULAÇÃO DE ÁGUA) COMO TRATAMENTO PARA  LIXIVIADO DE  ATERROS SANITÁRIOS;['ELVIS CARISSIMI', 'MARIANA ISLONGO CANABARRO', 'ANDRE RICARDO FAJARDO', 'SIARA SILVESTRI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;UTILIZAÇÃO DE COMPOSTO SINTÉTICO NITROFURANO COMO ANTI-HELMÍNTICO;['DANIELA FERNANDES RAMOS SOARES', 'CARLOS JAMES SCAINI', 'LUCIANA FARIAS DA COSTA DE AVILA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MÉTODO DE COLHEITA DE MICROALGAS ATRAVÉS DE COAGULAÇÃO/FLOCULAÇÃO UTILIZANDO FLOCULANTE VERDE A BASE DE QUITINA SOLUBILIZADA EM MEIO AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'VIVIANE DE CARVALHO ARABIDIAN', 'ANDREI VALLERAO IGANSI', 'FILIPE ECHART DE OLIVEIRA', 'DEBORA PEZ JAESCHKE', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'FABIO FELIPE GABRIEL ROSELET', 'ELIEZER QUADRO ORESTE', 'FELIPE KESSLER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSOS SIMPLIFICADOS DE RECUPERAÇÃO DE PHAS VIA EXTRAÇÃO QUÍMICA OU FÍSICA COMPLEMENTADOS POR SEPARAÇÃO QUÍMICA POR DIFERENÇA DE POLARIDADE OU TRADICIONAL;['CLAIRE TONDO VENDRUSCOLO', 'Amanda Ávila Rodrigues', 'MARIANE IGANSI ALVES', 'KARINE LASTE MACAGNAN', 'ANGELITA DA SILVEIRA MOREIRA']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PREPARAÇÃO DE FERTILIZANTE A PARTIR DE LODO E CINZA COM ALGINATO COMO AGENTE AGLUTINANTE;['ROGERIO MARCOS DAL LAGO', 'JARDES BRAGAGNOLO', 'ANTÔNIO SERGIO DO AMARAL', 'ILIZANDRA APARECIDA FERNANDES', 'MARCELO LUIS MIGNONI']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO E SISTEMA DE MONITORAMENTO DE PRODUTOS BIOLÓGICOS E MÉTODO PARA PREVISÃO DE CARGA MICROBIANA EM PRODUTOS BIOLÓGICOS;['SANDRO BINSFELD FERREIRA', 'SUSE BOTELHO DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIOCOMBUSTÍVEL OBTIDO A PARTIR DO ÓLEO DA SEMENTE DE COCÃO (ATTALEA TASSMANNI);['LUIZ ANTONIO DE ALMEIDA PINTO', 'LUIZ HENRIQUE HAN', 'VIVIANE DE CARVALHO ARABIDIAN', 'BRUNA SILVA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;BALA DE GOMA ADICIONADA DE LEITE DE MAGNÉSIA;['JAMILE ZENI', 'TALITA POLON', 'GABRIELA ISABEL CANTELE', 'FERNANDA CAROLINE UTTEICH', 'EMILI OTOWICZ', 'JOAO VICTOR ARALDI', 'DEIVID PAULO SESSE', 'VICTOR VARGAS DA CAMPO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE SÍNTESE VERDE ASSISTIDA POR MICRO-ONDAS COM CATALIZADOR DE FIBRA DE CASCA DE COCO (PD/CCSF) PARA PRODUÇÃO DO COMPOSTO SINTÉTICO 4,7-BIS(PHENYLTHIO)BENZO[C][1,2,5]THIADIAZOLE E UTILIZAÇÃO DESSE COMO ANTI-HELMÍNTICO;['DANIELA FERNANDES RAMOS SOARES', 'DEBORA CARVALHO RODRIGUES', 'Ramesh Katla', 'ANDREZZA MEDEIROS FARIA', 'CARLOS JAMES SCAINI', 'LUCIANA FARIAS DA COSTA DE AVILA']
UPF;UNIVERSIDADE DE PASSO FUNDO;DISPOSITIVO MODULAR ANTI POUSO DE AVES;['CHARLES LEONARDO ISRAEL', 'LEONARDO VIEIRA PERES', 'HERBER CUADRO FONTOURA', 'CARLOS EDUARDO PEREIRA', 'NILTON CESAR VIEGAS DA SILVA', 'CRISTIAN HANS CORREA', 'MARCELO FANK FRAGA', 'DIEGO DARCI LANGARO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE NANOEMULSÕES PICKERING DE NANOFIBRAS DE QUITINA COM EXTRATO BIOATIVO DE RESÍDUO DE LÚPULO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'GABRIEL COSTA COELHO', 'LISIANE BALDEZ DA CUNHA', 'MICHELI LEGEMANN MONTE', 'BRUNA SILVA DE FARIAS', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;TESTE MOLECULAR RÁPIDO PARA TUBERCULOSE;['MARLI MATIKO ANRAKU DE CAMPOS', 'KELI LUANA MALDANER']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO PARA O PREPARO DE NANOCOMPÓSITO DE NANOPLAQUETA NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA, NANOCOMPÓSITO DE NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA E USO DO NANOCOMPÓSITO;['RENAN DEMORI', 'MATEUS DA FONSECA PEREIRA', 'TIAGO MARCELO REIS', 'JANAINA DA SILVA CRESPO', 'ALEXANDRE FASSINI MICHELS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;OBTENÇÃO DE SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA PARA DETERMINAÇÃO DE TARTRAZINA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'LEANDRO SILVA DE ALMEIDA', 'EDUARDO SILVEIRA RIBEIRO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE ÓLEO LUBRIFICANTE USADO (OLU) EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ARIANE BORGES RIBEIRO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'RAFAEL GERHARDT', 'BRUNA SILVA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;FORMULAÇÕES DE REVELADORES DE IMPRESSÕES DIGITAIS DERIVADOS DA CURCUMINA NATURAL;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'AMANDA FONSECA LEITZKE', 'TAIS POLETTI', 'BRUNO NUNES DA ROSA', 'MILENA MATTES CERVEIRA', 'GUILHERME KURZ MARON', 'RODRIGO DE ALMEIDA VAUCHER', 'NEFTALI LENIN VILLARREAL CARREÑO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;BCG RECOMBINANTE EXPRESSANDO EPÍTOPOS IMUNODOMINANTES DE SYCP1 E ACRBP PARA APLICAÇÕES EM IMUNOTERAPIA DO MELANOMA E CÂNCER DE BEXIGA;['FABIANA KOMMLING SEIXAS', 'VALENTINA GESSINGER FERREIRA', 'SUZANA LEMKE LANIUS', 'STELLA JULLI FARIAS CARDOZO', 'NIELE SILVA SOUZA', 'MARIA EDUARDA EHLERT', 'LAURA DE MORAES GOMES', 'JOAO VITOR FERNANDES MARCO', 'NICOLE RAMOS SCHOLL', 'FREDERICO SCHMITT KREMER', 'BRUNA SILVEIRA PACHECO', 'FERNANDA SEVERO SABEDRA SOUSA', 'SIBELE BORSUK', 'AMILTON CLAIR PINTO SEIXAS NETO', 'TIAGO VEIRAS COLLARES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LICOR PIROLENHOSO COMO REVESTIMENTO ANTICORROSIVO PARA METAIS;['DARCI ALBERTO GATTO', 'ANDRE LUIZ MISSIO', 'CAMILA MONTEIRO CHOLANT']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MICROPARTÍCULAS BIOPOLIMÉRICS CARREADORAS DE MOLÉCULAS HERBICIDAMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'HENRIQUE PERES DA MOTA', 'ANDRESSA BAPTISTA NORNBERG', 'VINICIOS RAFAEL GEHRKE', 'LUIS ANTONIO DE AVILA', 'EDINALVO RABAIOLI CAMARGO']
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;MÉTODO DE TRATAMENTO DE EFLUENTES CONTENDO CROMO HEXAVALENTE DA INDÚSTRIA DE GALVANIZAÇÃO;['RODRIGO DE ALMEIDA SILVA', 'RICHARD THOMAS LERMEN']
UNIJUÍ;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;INVÓLUCRO IMPERMEÁVEL PARA PLACA ELETRÔNICA E CIRCUITOS ELÉTRICOS;['PAULO SERGIO SAUSEN', 'AIRAM TERESA ZAGO ROMCY SAUSEN', 'MAURICIO DE CAMPOS']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FILME ANTICORROSÃO, EMBALAGEM, PROCESSO DE PRODUÇÃO E USO DO MESMO;['ROSMARY NICHELE BRANDALISE', 'TAIS CAROLINE TURELLA', 'DIEGO PIAZZA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE OBTENÇÃO DE MEMBRANA POLIMÉRICA COM NANOFIBRAS DE CELULOSE E MEMBRANA POLIMÉRICA COM NANOFIBRAS DE CELULOSE;['ADEMIR JOSE ZATTERA', 'TAYSE CIRCE TUROSSI', 'CAMILA BALDASSO', 'JOCELEI DUARTE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;OBTENÇÃO DE SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA PARA DETERMINAÇÃO DE TARTRAZINA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'SARA ALVES DA CUNHA', 'RAFAELA VENDRAMIN COMUNELLO', 'LEANDRO SILVA DE ALMEIDA', 'EDUARDO SILVEIRA RIBEIRO', 'ISAAC DOS SANTOS NUNES', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO PARA O PREPARO DE NANOCOMPÓSITO DE NANOPLAQUETA NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA, NANOCOMPÓSITO DE NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA E USO DO NANOCOMPÓSITO;['RENAN DEMORI', 'MATEUS DA FONSECA PEREIRA', 'TIAGO MARCELO REIS', 'JANAINA DA SILVA CRESPO', 'ALEXANDRE FASSINI MICHELS']
UNIJUÍ;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;URNRS22 - CULTIVAR PROTEGIDA;['JOSE ANTONIO GONZALEZ DA SILVA', 'JOAO PEDRO DALLA ROZA', 'JAQUELINE PIESANTI SANGIOVO', 'LEONARDO CESAR PRADEBON', 'CRISTHIAN MILBRADT BABESKI', 'NATIANE CAROLINA FERRARI BASSO', 'IVAN RICARDO CARVALHO', 'JULIANA AOZANE DA ROSA', 'EMERSON ANDRE PEREIRA']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;DISPOSITIVO PARA A PURIFICAÇÃO HÍBRIDA DE ÁGUA POR MEIO DE RADIAÇÃO DE MICRO-ONDAS;['VANDERLEI FOLMER', 'ALEJANDRO JAVIER ALEGRE REYES', 'ELTON LUIS GASPAROTTO DENARDIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;APARATO E MÉTODO PARA ENSAIO DE AVALIAÇÃO DE VIDA DE BICO DE CONTATO EM SOLDAGEM E MANUFATURA ADITIVA;['LOURIEL OLIVEIRA VILARINHO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA RECOMBINANTE DE ROTAVÍRUS G3P[12] E G14P[12] PARA USO COMO IMUNOBIOLÓGICO;['FABIO PEREIRA LEIVAS LEITE', 'VITORIA SEQUEIRA GONCALVES', 'RAFAELA PINTO DE SOUZA', 'VITORIA MULLER', 'MARIANA ANDRADE MOUSQUER', 'CARLOS EDUARDO WAYNE NOGUEIRA', 'NEIDA LUCIA CONRAD', 'RODRIGO CASQUERO CUNHA']
