Sigla;Nome;Responsável
UFBA;INVESTIGAÇÃO DE ALVOS MOLECULARES E POTENCIAL IMUNOMODULADOR DE PRODUTOS OBTIDOS DE PLANTAS DO ESTADO DA BAHIA E DERIVADOS DE SÍNTESE EM CÉLULAS GLIAIS NORMAIS E TRANSORMADAS.;SILVIA LIMA COSTA
UNEB;LADIMA - Laboratório Digital de Ensino da Matemática;ANDRE RICARDO MAGALHAES
UNESP-BOTUCATU;TECNOLOGIAS PARA O CUIDADO DE ENFERMAGEM EM UNIDADES DOMICILIARES E DE PRONTO ATENDIMENTO E DE INTERNAÇÃO HOSPITALAR;REGINA CELIA POPIM
UNEB;A Rádio da Escola na Escola da Rádio: Educação Científica na Educação Básica da Rede Pública;TANIA MARIA HETKOWSKI
UECE;Novas Embalagens de Alimentos Baseadas em Polímeros Naturais e Verdes Biodegradáveis;ROSELAYNE FERRO FURTADO
FUCAPE-ES;MODELOS DE EVIDENCIAÇÃO DE EXCELÊNCIA NA GESTÃO PÚBLICA;ARIDELMO JOSE CAMPANHARO TEIXEIRA
FUCAPE-ES;MODELOS DE EVIDENCIAÇÃO DE EXCELÊNCIA NA GESTÃO PÚBLICA;ARIDELMO JOSE CAMPANHARO TEIXEIRA
FUCAPE-ES;FUCAPE 120% SUSTENTÁVEL;FRANCISCO ANTONIO BEZERRA
FAMERP;IDENTIFICAÇÃO E AVALIAÇÃO DA EXPRESSÃO DE MARCADORES MOLECULARES ENVOLVIDOS NA TUMORIGÊNESE DE PULMÃO;ELOIZA HELENA TAJARA DA SILVA
UFCG;AQUISIÇÃO DE EQUIPAMENTOS PARA O LABORATÓRIO DE DESENVOLVIMENTO E AVALIAÇÃO DE BIOMATERIAIS DO NORDESTE-CERTBIO;MARCUS VINICIUS LIA FOOK
UFRGS;Produção e inovação em leite e derivados, ovos e mel;MARCIA MONKS JANTZEN
UFRGS;Avaliação e controle em carne, pescado e derivados;CESAR AUGUSTO MARCHIONATTI AVANCINI
UFRGS;Inspeção de leite e derivados, ovos e mel;GUIOMAR PEDRO BERGMANN
UFRGS;Inspeção de carne, pescado e derivados;SUSANA CARDOSO
IPT;SISTEMAS DE QUALIDADE, DESENVOLVIMENTO DE NORMAS APLICÁVEIS A  EDIFÍCIOS E USO DO  BIM;JOSE MARIA DE CAMARGO BARROS
IPT;Políticas habitacionais e urbanas, regularização fundiária, assistência tecnológica para entidades públicas (União, Estados e Municípios);CLÁUDIA ECHEVENGUÁ TEIXEIRA
IPT;Avaliação de desempenho, racionalização e otimização de componentes e sistemas construtivos;FULVIO VITTORINO
IPT;Avaliação e aprimoramento das condições de segurança, da qualidade de materiais, produtos e equipamentos para sistemas prediais e de segurança contra incêncio;ANDRE LUIZ GONCALVES SCABBIA
IPT;Avaliação de eficiência energética em edificações;OMAR YAZBEK BITAR
FSLM;AVALIAÇÃO DAS PROPRIEDADES FÍSICAS, MECÂNICAS E ACOMPANHAMENTO CLÍNICO DOS DIFERENTES SISTEMAS DE IMPLANTE;ANDRE ANTONIO PELEGRINE
IME;Programa nacional Rádio Definido por Software do Ministério da Defesa;ERNESTO LEITE PINTO
UEL;Desenvolvimento, avaliação e intervenção com jogos educativos: contribuições da análise do comportamento;SILVIA REGINA DE SOUZA ARRABAL GIL
UFAL;DESENVOLVIVENTO DE UM SISTEMA INTEGRADO (SOFTWARE) PARA PROJETO E EXECUÇÃO DE SISTEMAS CONSTRUTIVOS EM ALVENARIAS COORDENADAS MODULARMENTE.;ALINE DA SILVA RAMOS BARBOZA
UFAL;NÚCLEO DE PESQUISAS NAS ÁREAS DE QUÍMICA E BIOTECNOLOGIA DA UFAL;MARIO ROBERTO MENEGHETTI
UFS;MECANISMOS MOLECULARES IMPLICADOS NA CARDIOMIOPATIA DIABÉTICA;SANDRA LAUTON SANTOS
UFRJ;Sistemas de Informação Geográfica como suporte ao Estudo integrado de Problemas Ambientais;LUIZ CLAUDIO GOMES PIMENTEL
UNB;Peptídeos  antimicrobianos   como potencial para   terapia endodôntica;TAIA MARIA BERTO REZENDE
UEPG;ESTUDO DA VIABILIDADE DOS PROCESSOS POR ATRITO FRICTION SURFACING NA FABRICAÇÃO DE PAINÉIS ESTRUTURAIS DE Al 2024-T3;ANDRE LUIS MOREIRA DE CARVALHO
UFBA;PROGRAMA DE GESTÃO SOCIAL E DESENVOLVIMENTO LOCAL- PDGS;TANIA MARIA DIEDERICHS FISCHER
UFBA;INOVAÇÃO DE PRODUTOS E PROCESSOS TECNOLÓGICOS E BIOTECNOLÓGICOS;MARCELO ANDRES UMSZA GUEZ
UFBA;MODELAGEM E DESENVOLVIMENTO DE PRODUTOS EM ENGENHARIA DE POLIMERIZAÇÃO;KAREN VALVERDE PONTES
UFBA;VALIDAÇÃO TESTE IN HOUSE PARA CARGA VIRAL DO VHB/VHC E VHD;RAYMUNDO PARANA FERREIRA FILHO
UFSC;EDITAL MCT/CNPQ 14/2010 - UNIVERSAL - SISTEMA DE TREINAMENTO, SIMULAÇÃO, ENSINO E ENTRETENIMENTO ATRAVÉS DE IMERSÃO TRIDIMENSIONAL AVANÇADA DE BAIXO CUSTO APLICADO A TELEVISÃO DIGITAL INTERATIVA.;MILTON LUIZ HORN VIEIRA
UEFS;SISTEMAS DE CONSOLIDAÇÃO E INTEGRAÇÃO DE LABORATÓRIOS DE PESQUISA E PÓS-GRADUAÇÃO;EDSON DIAS FERREIRA
UESB;ISOLAMENTO E INOCULAÇÃO DE BACTÉRIAS DIAZOTRÓFICAS EM CULTIVOS DE IMPORTÂNCIA ECONÔMICA PARA O SEMIÁRIDO;PATRICIA LOPES LEAL
UFRGS;FOMENTO À FORMAÇÃO DE RECURSOS HUMANOS EM GEOCIÊNCIAS POR MEIO DA CRIAÇÃO DO PRH-PB 15;JAIR WESCHENFELDER
UFPR;ASPECTOS DE CULTIVO E ABORDAGEM QUÍMICA DE FUNGOS PATOGÊNICOS E MICORRÍZICOS DE PINUS E SUA APLICAÇÃO NA ÁREA FARMACÊUTICA, VETERINÁRIA E AGRÍCOLA;MARILIS DALLARMI MIGUEL
UFES;DESENVOLVIMENTO DE UM ANDADOR ROBÓTICO PARA ASSISTÊNCIA À MARCHA HUMANA;TEODIANO FREIRE BASTOS FILHO
FIOCRUZ;L1P5 - AVALIAÇÃO, VALIDAÇÃO E DESENVOLVIMENTO DE MODELOS DE GESTÃO PARA A VIGILÂNCIA SANITÁRIA;ISABELLA FERNANDES DELGADO
UFRGS;REDE DE COOPERAÇÃO TECNÓLOGICA EM HIV/AIDS;RICARDO DE SOUZA KUCHENBECKER
UFES;LabEpi - UFES - LABORATÓRIO DE EPIDEMIOLOGIA;THIAGO NASCIMENTO DO PRADO
UFRJ;IDENTIFICAÇÃO DE DESCARGAS PARCIAIS EM SISTEMAS DE POTÊNCIA;JOSE MANOEL DE SEIXAS
UFRGS;DESENVOLVIMENTO DE UM SOFTWARE PARA PROCESSAMENTO E ANÁLISE DE SINAIS BIOLÓGICOS UTILIZADOS EM BIOMECÂNICA;JEFFERSON FAGUNDES LOSS
UFRJ;DESATIVAÇÃO DE CATALISADORES DE HIDROTRATAMENTO;VERA MARIA MARTINS SALIM
PUCRS;MELHORIA DE PROCESSO DE SOFTWARE DE FORMA ITERATIVA E INCREMENTAL;RAFAEL PRIKLADNICKI
UFRJ;PROPAGAÇÃO DE CÉLULAS-TRONCO EMBRIONÁRIAS EM BIORREATORES VISANDO AO AUMENTO DE ESCALA PARA TRANSPLANTES EM DOENÇAS NEURODEGENERATIVAS;STEVENS KASTRUP REHEN
UFJF;Desenvolvimento e Caracterização da Instrumentação e do Detector do Projeto Neutrinos Angra;RAFAEL ANTUNES NOBREGA
UNB;SISTEMA DE PREVISÃO E GERENCIAMENTO DE RISCOS HIDROLÓGICOS NO SEMIÁRIDO BRASILEIRO – SECAS E ENCHENTES.;EDUARDO SAVIO PASSOS RODRIGUES MARTINS
UFAL;Controle químico e alelopatia: Inovações tecnológicas para a cadeia produtiva da mandioca (Manihot esculenta).;JOSE VIEIRA SILVA
UERJ;# ESTUDO ESTRUTURAL E ULTRAESTRUTURAL DAS CÉLULAS DO ESTROMA: FIBROBLASTOS, MIOFIBROBLASTOS, MASTÓCITOS, MACRÓFAGOS E CELULAS MUSCULARES, DA ZONA DE TRANSIÇÃO DA PRÓSTATA DE INDIVÍDUOS COM HIPERPLASIA PROSTÁTICA TRATADOS E NÃO TRATADOS COM DUTASTERIDA;WALDEMAR SILVA COSTA
UFS;Startup TANOSHII EMPREENDIMENTOS LTDA;RONALDO SANTOS DA SILVA
PUC-RIO;Arquivo Hannah Arendt;BETHANIA DE ALBUQUERQUE ASSY
USP;AVALIAÇÃO DE UM NOVO CONJUNTO DE FABRICAÇÃO NACIONAL DE BARRA METÁLICA E ESTABILIZADORES PERPENDICULAR E OBLÍQUO UTILIZADOS NA CORREÇÃO CIRÚRGICA MINIMAMENTE INVASIVA DO PECTUS EXCAVATUM;MIGUEL LIA TEDDE
CBPF;DESENVOLVIMENTO DE ESTAÇÃO DE TESTES DE MÚONS DO EXPERIMENTO LHCB;HERMAN PESSOA LIMA JUNIOR
CBPF;DESENVOLVIMENTO DE UM ESPECTROMETRO DE NMR;ROBERTO SILVA SARTHOUR JUNIOR
CBPF;DESENVOLVIMENTO DE MICROSQUIDS DE FILMES DE NIÓBIO;GERALDO ROBERTO CARVALHO CERNICCHIARO
FIOCRUZ;CURSO DE EDUCAÇÃO À DISTÂNCIA PARA QUALIFICAÇÃO DA INVESTIGAÇÃO DO ÓBITO MATERNO, FETAL E INFANTIL: COMITÊS PARA PREVENÇÃO E PREVENÇÃO E CONTROLE DA MORTALIDADE MATERNA, FETAL E INFANTIL E DE NÚCLEOS HOSPITALARES DE EPIDEMIOLOGIA;MARCOS AUGUSTO BASTOS DIAS
FIOCRUZ;IMPLEMENTAÇÃO DE LABORATÓRIO DE ALTA COMPLEXIDADE PARA ESTUDO DE AFECÇÕES DO PERÍODO PERINATAL E SUAS CONSEQÜÊNCIAS;MARIA ELISABETH LOPES MOREIRA
UMC;DESENVOLVIMENTO DE SOLUÇÕES INOVADORAS PARA INSTITUIÇÕES DE SAÚDE;ANDREA BOTTONI
UFG;REDE DE TERAPIAS INOVADORAS APLICADAS À NANOMEDICINA;ANDRIS FIGUEIROA BAKUZIS
FIOCRUZ;PROGRAMA DE EDUCAÇÃO TUTORIAL DO CURSO DE PEDAGOGIA DA UVA (PET PEDAGOGIA - UVA);ISRAEL ROCHA BRANDAO
FIOCRUZ;TÃO LONGE, TÃO PERTO: A RELAÇÃO MÉDICO-PACIENTE E A HUMANIZAÇÃO DO CUIDADO SOB O OLHAR DOS ESTUDANTES DE MEDICINA DA UFRN;KARLA PATRICIA CARDOSO AMORIM
FIOCRUZ;CENTRO DE REFERÊNCIA EM OSTEOGÊNESE IMPERFEITA (CROI) PROTOCOLOS CLÍNICOS E TERAPÊUTICOS VOLTADOS PARA A OSTEOGÊNESE IMPERFEITA (OI);DAFNE DAIN GANDELMAN HOROVITZ
FIOCRUZ;IMPLEMENTAÇÃO DE LABORATÓRIO DE ALTA COMPLEXIDADE PARA ESTUDO DE AFECÇÕES DO PERÍODO PERINATAL E SUAS CONSEQUÊNCIAS;MARIA ELISABETH LOPES MOREIRA
UFRJ;Quantificação da massa ventricular esquerda e volumes ventriculares em ressonância magnética cardíaca com aquisição em tempo real utilizando amostras esparsas e reconstrução iterativa;RONALDO DE SOUZA LEAO LIMA
UFMS;Desenvolvimento de vacina contra o carrapato-do-boi Rhipicephalus (Boophilus) microplus baseada na vacinologia reversa;RENATO ANDREOTTI E SILVA
UEPG;NANOCELULOSE: OTIMIZAÇÃO DO PROCESSO DE EXTRAÇÃO E DE PROPRIEDADES PARA VARIADAS APLICAÇÕES;LUIS ANTONIO PINHEIRO
USP;N09.05.02 - Tomografia por Coerencia Óptica;ANDERSON ZANARDI DE FREITAS
USP;N09.02.01 - Macroprocessamento de materiais a laser;WAGNER DE ROSSI
USP;N09.04.03 - Desenvolvimento de lasers bombeados por diodo;NIKLAUS URSUS WETTER
USP;N07.01.03 - Síntese de insumos cerâmicos à base de silicatos para componentes de células a combustível;CHIEKO YAMAGATA
USP;N11.02.03 - Radioatividade natural e artificial em alimentos e matérias primas exportados e importados pelo Brasil;MARCIA PIRES DE CAMPOS
UNIOESTE;Desenvolvimento de tecnologias para a aquicultura;ALTEVIR SIGNOR
UTFPR;USO DE PROCESSOS OXIDATIVOS AVANÇADOS PARA DEGRADAÇÃO E REMOÇÃO DA TOXICIDADE DE POLUENTES PRIORITÁRIOS;ADRIANE MARTINS DE FREITAS
USP;N07.14.01 - Processamento e caracterização de materiais luminescentes poliméricos.;DUCLERC FERNANDES PARRA
USP;N07.15.01 - Processamento e caracterização de materiais luminescentes poliméricos.;DUCLERC FERNANDES PARRA
USP;N07.17.01 - Metrologia em Química.;JORGE EDUARDO DE SOUZA SARKIS
UERJ;Projeto e Gestão de Operações de Saúde;THAIS SPIEGEL
UFAL;CONSOLIDAÇÃO E EXPANSÃO DO NIT/UFAL.;JOSEALDO TONHOLO
FSLM;AVALIAÇÃO DA FORÇA DE MORDIDA, CICLO DA MASTIGAÇÃO E ELETROMIOGRAFIA;MARCELO LUCCHESI TEIXEIRA
UFGD;Inseticidas multifuncionais baseados em lipídios fenólicos para controle de insetos vetores;EDUARDO JOSE DE ARRUDA
USP;PRODUÇÃO DE POLIHIDROXIBUTIRATO;JOSE GREGORIO CABRERA GOMEZ
IPT;Estudos e avaliação de fontes alternativas de geração de energia (solar, eólica, fotovoltaica, gás e eletricidade);CLAUDIO VICENTE MITIDIERI FILHO
IPT;Projeto de urbanização e da unidade habitacional;FULVIO VITTORINO
UFES;ESCOAMENTO MULTIFÁSICO: CARACTERIZAÇÃO EXPERIMENTAL E NUMÉRICA;MARCIO FERREIRA MARTINS
INPA;GESTÃO POR COMPETÊNCIA: PERFIL E VISÃO DO ADMINISTRADORDAS UNIDADES DE CONSERVAÇÃO DO ESTADO DO AMAZONAS.;GIL VIEIRA
UNEB;ARQUIVOS DE CRÍTICA CULTURAL: FONTES, EDIÇÕES E OFICINAS DO SIGNO;ROBERTO HENRIQUE SEIDEL
UFU;DESENVOLVIMENTO DE PROCESSOS E CONSUMÍVEIS PARA SOLDAGEM;AMERICO SCOTTI
IFBAIANO;Desenvolvimento de permeâmetro para medida da permeabilidade do solo ao ar no campo;ALEXSANDRO DOS SANTOS BRITO
UFU;PROGRAMA ESPECIAL DE APOIO À PESQUISA E À PÓS-GRADUAÇÃO EM SOCIOLOGIA E ANTROPOLOGIA;FABIANE SANTANA PREVITALI
USP;N01.02.05 - Desenvolvimento de Metodologia de Controle de Qualidade e Validação;EDUARDO LANDULFO
UFRGS;Intrumentação aplicada à indústria agropecuária;ALEXANDRE BALBINOT
UFG;SGR - Sistema de Apoio a Decisão da Gestão e Monitoramento de Resíduos;CELSO GONCALVES CAMILO JUNIOR
UNB;DICIONÁRIO ANALÓGICO DE APRENDIZAGEM DO PORTUGUÊS DO BRASIL;MICHELLE MACHADO DE OLIVEIRA VILARINHO
UFTM;AMPLIAÇÃO DO LABORATÓRIO MULTIDISCIPLINAR DE BIOLOGIA MOLECULAR E CELULAR DA UFTM.;LUIZ EDUARDO RAMIREZ GIRALDO
UNIFENAS;PRODUÇÃO VEGETAL E AGROENERGIA;ADRIANO BORTOLOTTI DA SILVA
UFJF;PI22 - Desenvolvimento e avaliação dos efeitos de biomateriais e medicamentos em Odontologia;MARIA DAS GRACAS AFONSO MIRANDA CHAVES
UNIUBE;GRAMPOS CONFECCIONADOS EM POLÍMERO PARA ISOLAMENTO ABSOLUTO DO CAMPO OPERATÓRIO EM PROCEDIMENTOS OPERATÓRIOS;MARIA ANGELICA HUEB DE MENEZES OLIVEIRA
CNEN/CDTN;DESENVOLVIMENTO E OTIMIZAÇÃO DE PROCESSOS HIDROMETALÚRGICOS PARA EXTRAÇÃO E PURIFICAÇÃO DE METAIS;CARLOS ANTONIO DE MORAIS
UFG;Estudo clínico randomizado duplo-cego de medicamentos fitoterápicos com finalidade profilática e curativa da mucosite oral (FASE I e II);ELISMAURO FRANCISCO DE MENDONCA
UFPE;GEL DE POLISSACARÍDEO CELULÓSICO (BIOPOLÍMERO DE CANA DE AÇÚCAR): NOVAS FRONTEIRAS COMO AGENTE DE PREENCHIMENTO;JOSE LAMARTINE DE ANDRADE AGUIAR
UFCG;DESENVOLVIMENTO DE PASTILHAS VÍTREAS PARA REVESTIMENTO A PARTIR DA RECICLAGEM DE VIDROS SÓDICOS-CÁLCICOS;CRISLENE RODRIGUES DA SILVA MORAIS
USP-RIBEIRÃO PRETO;A transmissão da informação sobre medicamentos por meio de tecnologias de informação e comunicação: uma contribuição para a segurança do paciente do ponto de vista do uso racional de medicamentos;JULIETA MIEKO UETA
USP;CENTRO DE ESTUDOS DA METROPOLE;MARTA TERESA DA SILVA ARRETCHE
UFG;Desenvolvimento de plataformas microfluídicas para aplicações analíticas ambientais e bioanalíticas;WENDELL KARLOS TOMAZELLI COLTRO
USP;SISTEMAS DE AVALIAÇÃO DE SERVIÇOS EM ALERGIA E  IMUNOLOGIA CLÍNICA;LUIZ AUGUSTO MARCONDES FONSECA
UFSC;Tempestividade em Blockchain;MARTIN AUGUSTO GAGLIOTTI VIGIL
UFPR;Agência Escola de Comunicação Pública e Divulgação Científica e Cultural;REGIANE REGINA RIBEIRO
USP-RIBEIRÃO PRETO;AVALIAÇÃO DAS PROPRIEDADES BIOLÓGICAS DE CURATIVOS DE DEMORA, SOLUÇÕES IRRIGADORAS E DE MATERIAIS OBTURADORES DE CANAIS RADICULARES DE DENTES DECÍDUOS E PERMANENTES;LEA ASSED BEZERRA DA SILVA
UNIFESP;PROTOCOLO DE PREVENÇÃO E TRATAMENTO DA LESÃO POR FRICÇÃO;LEILA BLANES
UFSCAR;BIOFIXAÇÃO DE CARBONO DE EMISSÕES EM USINAS DE CIMENTO ATRAVÉS DO CULTIVO DE MICROALGAS E CIANOBACTÉRIAS;ANA TERESA LOMBARDI
UEPG;DESENVOLVIMENTO DE COMPOSIÇÃO DE GEOPOLIMÉRICA;SIDNEI ANTONIO PIANARO
UFPR;REMEDIAÇÃO DE RESIDUOS SÓLIDOS;HAROLDO DE ARAUJO PONTE
UFPEL;Produção de Videoaulas de Matemática com tradução em Libras;TATIANA BOLIVAR LEBEDEFF
USP-RIBEIRÃO PRETO;Determinação de alvos quimioterápicos e implementação de novas terapias no combate ao T.cruzi.;JOAO SANTANA DA SILVA
USP-ESALQ;MÉTODOS ESTATÍSTICOS EM ÁREAS AFINS;CESAR GONCALVES DE LIMA
UFPR;TECNOLOGIAS PARA QUALIFICAR E CONSOLIDAR A SISTEMATIZAÇÃO DA ASSISTÊNCIA DE ENFERMAGEM NOS DIFERENTES CENÁRIOS DA PRÁTICA PROFISSIONAL - EDITAL Nº 27/2016 CAPES/COFEN;LETICIA PONTES
UNIOESTE;Implementação e aplicação clínica do software BµA-DDX: avaliação de densidade óssea através de radiografias periapicais intraorais digitais;ADRIANE YAEKO TOGASHI
UNICENTRO;Desenvolvimento de implantes de titanio modificados com glucana para liberação de fármacos;MARIANA DE SOUZA SIKORA
UFPR;Estratégias de Biologia Sintética Aplicadas à Produção de Antígenos e Anticorpos Recombinantes para Imunodiagnóstico;NILSON IVO TONIN ZANCHIN
UNILA;Vacina imunoterapêutica contra Leishmaniose Visceral Canina;KELVINSON FERNANDES VIANA
CEFET-MG;Monitoramento ambiental por visão computacional aplicado a situações reais;ADRIANO CHAVES LISBOA
UFBA;Sociologia da Realidade Virtual e Aumentada;LEONARDO FERNANDES NASCIMENTO
UFT;SOFTWARE TOPONÍMICO DO TOCANTINS - SISTOP;KARYLLEILA DOS SANTOS ANDRADE KLINGER
UNICAMP;Cogestão e  apoio Paidéia;GASTAO WAGNER DE SOUSA CAMPOS
FAMERP;Manutenção da oclusão primária nos casos de avanço maxilo-mandibular para tratamento da Síndrome da Apnéia do Sono;JOSE VICTOR MANIGLIA
IFES;Desenvolvimento de protótipos robóticos inteligentes para análise mineralógico, testes de queda e compressão;MARCO ANTONIO DE SOUZA LEITE CUADROS
UFRGS;Projeto  ANEEL-CGTEE-FLE - Uso de Fly-Ash em tintas;LUIS FREDERICO PINHEIRO DICK
UFSJ;Doutorado Acadêmico para a Inovação (DAI);ALEXSANDRO SOBREIRA GALDINO
IFES;LABORATÓRIO MÓVEL DIDÁTICO DE QUÍMICA;ANDREA DE LUCENA LIRA
UFSJ;Uso do polímero DMPEI como biocida em diferentes setores industriais.;PAULO AFONSO GRANJEIRO
UFSJ;Produção de proteínas recombinantes para o diagnóstico imunológico de doenças negligenciadas;ALEXSANDRO SOBREIRA GALDINO
PUCRS;Nanoestruturas Híbridas com Flavonoides e sua Avaliação na Atividade Anticancerígena;ROSANE ANGELICA LIGABUE
FSLM;AÇÃO BIOLÓGICA DOS MATERIAIS CIRÚRGICOS;RUBENS GONCALVES TEIXEIRA
MACKENZIE;Licenciamento para explorar a invenção de sua titularidade, “IP Core para Processamento de Sinais de TV Digital ISDB-TB: RTX-ISDB- T-MACK (Modulador) e RMX-ISDB- T-MACK (Remux)” COJUR-GMSOL-0480/2018;CRISTIANO AKAMINE
UNOESTE;Estudos de protocolos terapêuticos e diagnósticos da ceratoconjuntivite seca e úlceras de córnea;SILVIA MARIA CALDEIRA FRANCO ANDRADE
UFSC;Inovação tecnológica do processo de cuidar e gerenciar;FRANCINE LIMA GELBCKE
USP-ESALQ;ESTATÍSTICA ROBUSTA APLICADA PARA PESQUISA, GESTÃO, INTELIGÊNCIA ORGANIZACIONAL E METROLOGIA;GABRIEL ADRIAN SARRIES
UFAL;Monitoramento climático para mini ou microgeração fotovoltaica;ERICK DE ANDRADE BARBOZA
UFPB-JOÃO PESSOA;Desenvolvimento de um modelo inteligente e preditivo baseado em planejamento amostral utilizando redes neurais artificiais para a gestão em saúde no modelo E-SUS de Atenção Básica;HEMILIO FERNANDES CAMPOS COELHO
UMC;DESENVOLVIMENTO DE SISTEMAS DE GESTÃO DA QUALIDADE EM SAÚDE;MARINA REIS DE MOURA CAMPOS
UFMG;Processos e produtos jornalísticos nas formações em comunicação;BRUNO SOUZA LEAL
UFSC;Saga das emoções;DANIELA KARINE RAMOS SEGUNDO
CNEN/IPEN;Macro-Projeto: Desenvolvimento de baterias nucleares para ambiente em fundo de poço.;CARLOS ALBERTO ZEITUNI
SENAI CIMATEC;Metodologia de Desenvolvimento Integrado de Produto e Tecnologia para Inovação;VALTER ESTEVAO BEAL
UFPE;FISIOTERAPIA, BIOENGENHARIA E INOVAÇÃO TECNOLÓGICA;SHIRLEY LIMA CAMPOS
INPE;SIMULAÇÃO DE SISTEMAS DINÂMICOS;MARCELO LOPES DE OLIVEIRA E SOUZA
INPE;TRIBOLOGIA DE MATERIAIS CARBONOSOS;VLADIMIR JESUS TRAVA AIROLDI
INPE;COMPÓSITOS DIAMANTE/MATRIZES POROSAS PARA APLICAÇÃO EM TRATAMENTO DE EFLUENTES;EVALDO JOSE CORAT
INPE;OBTENÇÃO DE FILMES DE DLC E DE DIAMANTE CVD PARA APLICAÇÕES ESPACIAIS;VLADIMIR JESUS TRAVA AIROLDI
INPE;GESTÃO DE PROJETOS E GARANTIA DA QUALIDADE EM MISSÕES ESPACIAIS;MILTON DE FREITAS CHAGAS JUNIOR
INPE;SIMULADORES  DE SATÉLITES;FABIANO LUIS DE SOUSA
INPE;ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG;ODYLIO DENYS DE AGUIAR
UFBA;Partida, Avaliação e Modelagem de um Processo Piloto de Produção Enzimática de Biodiesel;ADRIANA ELISA MORATO CARVALHO
INPE;ARQUITETURA INTEGRADA DE SISTEMAS ESPACIAIS;GEILSON LOUREIRO
INPE;NOVOS MATERIAIS OBTIDOS POR NITRETAÇÃO SUPERFICIAL COM DESCARGA LUMINESCENTE;ROGERIO DE MORAES OLIVEIRA
UNESP-JABOTICABAL;Aplicações da Agricultura Digital na Produção Vegetal;ROUVERSON PEREIRA DA SILVA
UFPI;Mini Franquias Sociais na Cadeia Produtiva do Coco Babaçu;LIVIO CESAR CUNHA NUNES
UNIPAR;PARCERIA UNIPAR X MINERPHOS - USO DE PRODUTOS BIOATIVOS COMO ADITIVOS EM ANIMAL;RANULFO PIAU JUNIOR
UEL;(DIS)SIMETRIAS LINGUÍSTICO-CULTURAIS NO ENSINO DE ESPANHOL SOB A ÉGIDE DAS UNIDADES FRASEOLÓGICAS: INVESTIGAÇÃO E PROPOSTAS PEDAGÓGICAS;CLAUDIA CRISTINA FERREIRA
UNIPAR;PESQUISA DA ATIVIDADES BIOLÓGICAS DE ÓLEOS ESSENCIAIS E EXTRATOS DE PLANTAS;RANULFO PIAU JUNIOR
