Ecossistema;Sigla;Nome;Cidade;Link
Produção e Norte;CONECTA;Incubadora Tecnológica do UPF Parque;Passo Fundo;https://www.upf.br/upfparque/incubadora/apresentacao
Produção e Norte;IFFar - Campus Frederico Westphalen;IFFar - Incubadora Campus Frederico Westphalen;Frederico Westphalen;http://incubadora.iffarroupilha.edu.br
Produção e Norte;INCUBATEC;Incubadora de Negócios Inovadores de Base Tecnológica;Passo Fundo;https://www.imed.edu.br/incubatec
Produção e Norte;ULBRATECH - Carazinho;Ulbratech Incubadora Carazinho;Carazinho;https://www.ulbratech.com.br/br/carazinho.html
Serra Gaúcha;IFRS - Autogestão Bento Gonçalves;IFRS - Autogestão Bento Gonçalves / Campus Bento Gonçalves;Bento Gonçalves;https://www.ucs.br/site/tecnoucs/itec/
Serra Gaúcha;IFRS - Click-up;IFRS - Click-Up / Campus Bento Gonçalves;Bento Gonçalves;https://www.ucs.br/site/tecnoucs/itec/
Serra Gaúcha;IFRS- Increase;IFRS - Increase / Campus Farroupilha;Farroupilha;https://www.ucs.br/site/tecnoucs/itec/
Serra Gaúcha;ITEC/UCS;ITEC/UCS Incubadora Tecnológica;Caxias do Sul;https://www.ucs.br/site/tecnoucs/itec/
Sul;CIEMSUL;Centro de Incubação de Empresas da Região Sul;Pelotas;http://edr.ucpel.edu.br/ciemsul/incubacao/
Sul;Conectar;Incubadora de Base Tecnológica Conectar - UFPel;Pelotas;http://wp.ufpel.edu.br/conectar/
Sul;IFSul - Incubadora Empresarial de Base Tecnológica Hélice;IFSul - Incubadora Empresarial de Base Tecnológica Hélice / Campus Pelotas;Pelotas;
Sul;INNOVATIO;Incubadora de Empresas de Base Tecnológica da FURG;Rio Grande;www.innovatio.furg.br
Vales;Inovates;Incubadora Tecnológica da Univates;Lajeado;http://www.inovates.com.br/
Vales;ITUNISC;Incubadora Tecnológica da UNISC - ITUNISC;Santa Cruz do Sul;https://www.unisc.br/pt/tecnounisc/incubadora-tecnologica/
