Ecossistema;Cidade;Link;Estágio de Maturidade;Modelo de Negócio;Segmento;Vertical;Público-alvo;Startup;Ambiente de Inovação
Central;Santa Maria;https://www.lauduz.com/;Escala;Assinatura;Telemedicina;HealthTech;B2B;Lauduz;ITEC PARK UFN
Central;Santa Maria;;Validação;Não Informado;Consultorias e Treinamentos;SecurityTech;B2G;Licitação Express;ITEC PARK UFN
Central;Santa Maria;;Validação;Não Informado;Software e Cloud;RetailTech;B2B;Lunix Tecnologias;NÃO INFORMADO
Central;Santa Maria;https://www.lupora.com.br/;Validação;Assinatura;Agronegócio;AgTech;B2C;Lupora;PULSAR
Central;Santa Maria;https://matchpal.com.br/;Validação;SaaS;Software e Cloud;SportsTech;B2B;MatchPal;NÃO INFORMADO
Central;Santa Maria;https://www.megaged.com.br/;Crescimento;SaaS;Software e Cloud;ITTech;B2B;Mega Prosulutions Ltda;NÃO INFORMADO
Central;Santa Maria;https://www.megaged.com.br/;Crescimento;SaaS;Software e Cloud;ITTech;B2B;Megaged;NÃO INFORMADO
Central;Santa Maria;;Crescimento;Não Informado;Software e Cloud;RetailTech;B2C;Mobart;PULSAR
Central;Santa Maria;;Validação;Custo por Aquisição;Aeroespacial;AgTech;B2C;Modum do Brasil;PULSAR
Central;Santa Maria;;Validação;Não Informado;Serviços;ITTech;B2B;MotorHub;PULSAR
Central;Santa Maria;https://www.ufn.edu.br/site/inovacao/ambiente-de-inovacao/startups;Ideação;Não Informado;Nanotecnologia;BeautyTech;B2B e B2C;NanoCosmétics;NÃO INFORMADO
Central;Cachoeira do Sul;https://www.linkedin.com/in/mirianmion/?originalSubdomain=br;Validação;Não Informado;Consultorias e Treinamentos;EdTech;B2B;Narrative;NÃO INFORMADO
Central;Santa Maria;https://nekto.com.br/;Escala;Não Informado;RH e Coaching;HRTech;B2B;Nekto;PULSAR
Central;Santa Maria;https://www.instagram.com/oliveeplus/;Validação;Não Informado;Agronegócio;Foodtech;B2B e B2C;OLIVE PLUS;NÃO INFORMADO
Central;Santa Maria;;Validação;Custo por Aquisição;Alimentos e Bebidas;Foodtech;B2C;Olive+;PULSAR
Central;Santa Maria;https://www.instagram.com/onebiosegurancadotrabalho;Validação;Não Informado;Consultorias e Treinamentos;Não Informado;B2B;OneBio;ITEC PARK UFN
Central;Santa Maria;https://www.linkedin.com/company/outsider-beyond-marketing;Validação;Não Informado;Consultorias e Treinamentos;MarTech;B2B;Outsider. Beyond Marketing;NÃO INFORMADO
Central;Ibirubá;https://peao.digital;Crescimento;Não Informado;Agronegócio;AgTech;B2B;PEÃO DIGITAL;NÃO INFORMADO
Central;Santa Maria;;Ideação;Não Informado;Outros;Não Informado;Não Informado;Pegadas;ITEC PARK UFN
Central;Santa Maria;https://www.performancevegetal.com.br/;Validação;Assinatura;Agronegócio;AgTech;A2A;Performance Vegetal;PULSAR
Central;Santa Maria;;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Platformed;NÃO INFORMADO
Central;Santa Maria;https://www.prevlaw.com/;Não Informado;Assinatura;Jurídico;LawTech;B2C;PREVLAW;INSTITUTO CALDEIRA
Central;Santa Maria;https://www.ufn.edu.br/site/inovacao/ambiente-de-inovacao/startups;Ideação;Não Informado;Consultorias e Treinamentos;LawTech;B2B e B2C;Privacidade Oculta;NÃO INFORMADO
Central;Santa Maria;https://qironrobotics.com/;Validação;Assinatura;Robótica;RoboticsTech;B2B e B2G;Qiron Education;PULSAR
Central;Santa Maria;https://www.qpmudas.com.br/catalog/;Crescimento;Custo por Aquisição;Agronegócio;AgTech;A2A;QP Mudas;PULSAR
Central;Santa Maria;;Validação;Não Informado;Software e Cloud;Foodtech;B2B;Quero Chef;NÃO INFORMADO
Central;Santa Maria;https://www.instagram.com/redesina.com.br/;Validação;Não Informado;Eventos;Funtech;B2C;Rede Sina Ensina;NÃO INFORMADO
Central;São Vicente do Sul;;Validação;Não Informado;Alimentos e Bebidas;Foodtech;B2G;Sabor IFF;NÃO INFORMADO
Central;Santa Maria;https://simplimed.med.br/;Validação;Serviços Baseados em Taxas;Financeiro;HealthTech;B2B e B2C;Simplimed;NÃO INFORMADO
Central;Santiago;https://skyplus.space/ / https://www.instagram.com/tangerina.santiago/;Ideação;E-commerce;Serviços;RetailTech;Não Informado;Sky Plus & Tangerina;LAB FECOMÉRCIO-RS
Central;Cruz Alta;https://www.instagram.com/smartcoop.oficial/;Validação;SaaS;Software e Cloud;AgTech;B2B e B2C;SmartCoop;NÃO INFORMADO
Central;Cruz Alta;https://societariodigital.com.br/;Crescimento;Não Informado;Software e Cloud;LawTech;B2B;Societário Digital Tecnologia;NÃO INFORMADO
Central;Santa Maria;https://softaliza.com.br/;Validação;E-commerce;Eventos;EventsTech;B2B;Softaliza;PULSAR
Central;Santa Maria;;Validação;Não Informado;Meio Ambiente e Sustentabilidade;GreenTech;Não Informado;Solwatech;NÃO INFORMADO
Central;Santa Maria;https://www.instagram.com/somarcqa/;Validação;Não Informado;Alimentos e Bebidas;Foodtech;B2B;Somar;ITEC PARK UFN
Central;Santa Maria;https://spraysolutions.com.br/;Validação;Pay-per-use;Agronegócio;AgTech;A2A;Spray Solution;PULSAR
Central;Santa Maria;https://www.instagram.com/studiobox_sm/;Validação;Não Informado;Mídia e Comunicação;AdTech;B2B;Studio Box;ITEC PARK UFN
Central;Santa Maria;;Ideação;Não Informado;Não Informado;Não Informado;Não Informado;Taking Care;ITEC PARK UFN
Central;Santiago;https://skyplus.space/;Crescimento;SaaS;Comércio e Varejo;RetailTech;B2B;Tangerina;NÃO INFORMADO
Central;Santa Maria;https://www.instagram.com/terafox.studio/;Crescimento;Assinatura;Marketing e Publicidade;Outras;B2B;Terafox Studio;NÃO INFORMADO
Central;Santa Maria;;Validação;Assinatura;Eventos;Inovação Social;B2B e B2C;Three.io;NÃO INFORMADO
Central;Santa Maria;;Validação;Outros;Financeiro;FinTech;A2A;Tuo (Banco Tuo);PULSAR
Central;Santa Maria;https://uangoo.com/;Validação;Não Informado;TI (Tecnologia da Informação);FinTech;B2B;UANGOO;ITEC PARK UFN
Central;Santa Maria;;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Uni Freela;NÃO INFORMADO
Central;Santa Maria;https://vdata-startup.com/;Ideação;Não Informado;Analytics;SalesTech;B2B;VDATA;NÃO INFORMADO
Central;Santa Maria;verden.agr.br;Crescimento;Assinatura;Automotivo;AutoTech;B2B e B2C;Verden;PULSAR
Central;Jaguari;https://www.instagram.com/verumbiotecnologia/;Validação;Transação;Biotecnologia;AgTech;B2B e B2C;Verum Biotecnologia;IFFAR JAGUARI
Central;Santa Maria;;Validação;Transação;Alimentos e Bebidas;Foodtech;B2C;W3 Special Ingredients;NÃO INFORMADO
Central;Santa Maria;;Validação;Não Informado;Consultorias e Treinamentos;ITTech;Não Informado;Warp Tecnologias;NÃO INFORMADO
Central;Santa Maria;https://weecaps.com.br/;Validação;Custo por Aquisição;Alimentos e Bebidas;Foodtech;A2A;WeeCaps;PULSAR
Central;São João do Polêsine;https://yourcode.com.br/;Crescimento;Não Informado;Software e Cloud;ITTech;B2B;Yourcode Solucoes Web & Mobile;NÃO INFORMADO
Central;Santa Maria;https://zeit.com.br/;Escala;SaaS;IA (Inteligência Artificial);AgTech;B2B;Zeit;PULSAR
Central;Santa Maria;https://www.zibber.com.br/;Ideação;Não Informado;Software e Cloud;EdTech;B2C;Zibber;PULSAR
Central;Santa Maria;https://zorya.cc/pt_br/;Validação;Transação;Entretenimento, Jogos e Gamificação;EdTech;B2B e B2C;Zorya;PULSAR
Central;Santa Maria;;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Zummer;PULSAR
Fronteira Oeste e Campanha;Alegrete;https://www.2dayitsolutions.com/;Crescimento;Assinatura;Software e Cloud;ITTech;B2B;2Day IT Solutions;PAMPATEC
Fronteira Oeste e Campanha;Alegrete;https://www.agendeiquadras.com.br/;Crescimento;SaaS;Software e Cloud;SportsTech;B2B;Agendei Tecnologias e Cia Ltda;NÃO INFORMADO
Fronteira Oeste e Campanha;Rosário do Sul;https://www.agmais.agr.br/;Validação;Não Informado;Agronegócio;AgTech;B2B;AGmais;NÃO INFORMADO
Fronteira Oeste e Campanha;Santana do Livramento;https://www.linkedin.com/company/agroteams/;Crescimento;Não Informado;Consultorias e Treinamentos;AgTech;B2B e B2C;Agroteams - Escola do Campo;NÃO INFORMADO
Fronteira Oeste e Campanha;Uruguaiana;https://baseconsultoria.com.br/alertaai/cidade/uruguaiana;Crescimento;Pay-per-use;Meio Ambiente e Sustentabilidade;GovTech;B2G;Alerta.AÍ;IFFAR URUGUAIANA
Fronteira Oeste e Campanha;Quaraí;https://www.aprogend.com.br/;Ideação;Assinatura;Saúde e Bem-Estar;HealthTech;B2C;Aprogend;NÃO INFORMADO
Fronteira Oeste e Campanha;Uruguaiana;https://arnstronic.com/;Ideação;Não Informado;Agronegócio;AgTech;B2G;Arnstronic;NÃO INFORMADO
Fronteira Oeste e Campanha;Alegrete;https://belezati.com/;Validação;Assinatura;Estética e Beleza;BeautyTech;B2C;Beleza TI;PAMPATEC
Fronteira Oeste e Campanha;Bagé;https://biblia-ia.com/site/;Validação;Assinatura;Educação e Ensino;EdTech;B2C;Bíblia-IA: Inteligência Abençoada;UALL
Fronteira Oeste e Campanha;Bagé;https://www.bientech.com.br/;Validação;Outros;Saúde e Bem-Estar;HealthTech;B2B;Bientech;PLATAFORMA
Fronteira Oeste e Campanha;Bagé;http://www.biodatascience.com.br/;Validação;Não Informado;Agronegócio;AgTech;B2B;BioData - Ciência de Dados;NÃO INFORMADO
Fronteira Oeste e Campanha;Uruguaiana;https://www.instagram.com/biofact_74/;Crescimento;Transação;Agronegócio;BioTech;B2B2C;BioFact74;NÃO INFORMADO
Fronteira Oeste e Campanha;Alegrete;https://capataz.com.br/;Crescimento;Não Informado;Software e Cloud;AgTech;B2C;Capataz Gestão da Pecuária Sustentável;PAMPATEC
Fronteira Oeste e Campanha;Alegrete;;Crescimento;Não Informado;Saúde e Bem-Estar;HealthTech;Não Informado;Cardial;PAMPATEC
Fronteira Oeste e Campanha;Bagé;http://www.cloudticket.com.br/;Crescimento;E-commerce;Eventos;EventsTech;B2C;Cloud Tickets;UALL
Fronteira Oeste e Campanha;Bagé;https://cscagrotech.com;Crescimento;Economia de API;Agronegócio;AgTech;B2B2C;CSC Agrotech;UALL
Fronteira Oeste e Campanha;Alegrete;https://devpampa.com/;Validação;Não Informado;Software e Cloud;SportsTech;B2B e B2C;DEv Pampa;NÃO INFORMADO
Fronteira Oeste e Campanha;Bagé;https://easymecanicas.com.br/;Crescimento;Marketplace;Automotivo;AutoTech;B2B2C;Easy Mecânicas;UALL
Fronteira Oeste e Campanha;Bagé;https://ia4agro.com.br/;Validação;Assinatura;Agronegócio;AgTech;B2C;IA4AGRO;NÃO INFORMADO
Fronteira Oeste e Campanha;Alegrete;https://www.imobik.com.br/;Crescimento;Economia de Recorrência;TI (Tecnologia da Informação);ImobTech;B2B;Imobi-k - Kabongo Grupo;NÃO INFORMADO
Fronteira Oeste e Campanha;Bagé;https://ipsillon.cc/;Crescimento;Software House;TI (Tecnologia da Informação);Inovação Social;B2B2C;Ípsillon;UALL
Fronteira Oeste e Campanha;Alegrete;https://medbe.com.br/;Crescimento;Não Informado;Saúde e Bem-Estar;HealthTech;Não Informado;MedBe;PAMPATEC
Fronteira Oeste e Campanha;Bagé;https://www.instagram.com/menu_br/;Crescimento;E-commerce;Alimentos e Bebidas;Foodtech;B2B2C;Menú;UALL
Fronteira Oeste e Campanha;Uruguaiana;https://www.instagram.com/mindcity_app/;Ideação;Assinatura;Educação e Ensino;EdTech;B2B;Mind City;NÃO INFORMADO
Fronteira Oeste e Campanha;Bagé;https://sites.unipampa.edu.br/green/otimo-startup/;Validação;Custo por Aquisição;Energia;GreenTech;B2C;Ótimo;NÃO INFORMADO
Fronteira Oeste e Campanha;Bagé;https://proby.online;Validação;Crowdfunding;TI (Tecnologia da Informação);Inovação Social;B2C;ProbY: Plataforma Global de Problemas Globais;UALL
Fronteira Oeste e Campanha;Bagé;https://www.prospersync.com;Ideação;Assinatura;Educação e Ensino;FinTech;B2B2C;ProsperSync;PLATAFORMA
Fronteira Oeste e Campanha;Alegrete;https://reufy.com.br/;Validação;SaaS;Saúde e Bem-Estar;HealthTech;B2B;Reufy Serviços de Saúde Ltda;PAMPATEC
Fronteira Oeste e Campanha;Bagé;http://saframeta.com.br;Crescimento;Não Informado;Agronegócio;Climate Tech;B2B;SafraMeta Agrometeorologia;NÃO INFORMADO
Fronteira Oeste e Campanha;Bagé;https://www.socialeats.com.br/;Validação;Assinatura;Alimentos e Bebidas;MarTech;B2B2C;Social Eats;TECNOPUC
Fronteira Oeste e Campanha;Alegrete;https://www.f6s.com/company/soltech-solucoes-financeiras#about;Crescimento;Custo por Aquisição;Energia;FinTech;B2B2C;Soltech Soluções Financeiras para Energia Solar;NÃO INFORMADO
Fronteira Oeste e Campanha;Rosário do Sul;https://www.instagram.com/starbioagro/;Crescimento;Não Informado;Biotecnologia;AgTech;B2B;STARBIO AGRO;NÃO INFORMADO
Fronteira Oeste e Campanha;Uruguaiana;https://vagasnacidade.com.br/site/;Validação;Serviços Baseados em Taxas;IA (Inteligência Artificial);HRTech;B2B2C;Vagas na Cidade;NÃO INFORMADO
Fronteira Oeste e Campanha;Alegrete;https://vendaerp.com.br/;Escala;Assinatura;Comércio e Varejo;RetailTech;B2B;Venda ERP Serviços de Desenvolvimento de Software e Consultoria em Gestão Empresarial Ltda;PAMPATEC
Fronteira Oeste e Campanha;Bagé;https://workfaraway.com/;Validação;Assinatura;RH e Coaching;HRTech;B2B2C;Work far away;UALL
Metropolitana e Litoral Norte;Campo Bom;https://insectprotein.com.br/;Crescimento;E-commerce;Meio Ambiente e Sustentabilidade;AgTech;B2B;!nsect Protein;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;http://21sms.com.br/;Validação;Assinatura;Marketing e Publicidade;MarTech;B2B;21 MOBILE;NÃO INFORMADO
Metropolitana e Litoral Norte;Campo Bom;https://www.3035tech.com/;Validação;Não Informado;TI (Tecnologia da Informação);ITTech;B2B2C;3035tech;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://www.linkedin.com/company/3dprotos/;Crescimento;Não Informado;Saúde e Bem-Estar;HealthTech;B2B;3D Protos;NÃO INFORMADO
Metropolitana e Litoral Norte;São Leopoldo;https://energia3s.com.br/;Escala;Não Informado;Energia;EnergyTech;B2B;3S;NÃO INFORMADO
Metropolitana e Litoral Norte;São Leopoldo;https://4esgsolutions.com/;Escala;Não Informado;Consultorias e Treinamentos;EsgTech;B2B;4.eSG Solutions;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://404digitalmedia.com/;Crescimento;Não Informado;Marketing e Publicidade;MarTech;B2B;404 DIGITAL;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://46graus.com/;Validação;Assinatura;Mídia e Comunicação;MarTech;B2C;46graus;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://4all.com/;Escala;Não Informado;Financeiro;FinTech;B2B;4all;NÃO INFORMADO
Metropolitana e Litoral Norte;São Leopoldo;https://4cast.com.br/;Validação;Não Informado;TI (Tecnologia da Informação);IndTech;B2B;4Cast Software;TECNOSINOS
Metropolitana e Litoral Norte;Porto Alegre;https://4lugo.com.br/;Validação;SaaS;Mobilidade;MobTech;P2P;4lugo;TECNOPUC
Metropolitana e Litoral Norte;Campo Bom;https://www.4show.live/;Validação;Não Informado;TI (Tecnologia da Informação);MarTech;B2B;4show - Full Live Commerce;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://rscriativo.rs.gov.br/99-reciclado;Crescimento;Custo por Aquisição;Comércio e Varejo;GreenTech;B2C e B2G;99% RECICLADO;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://abaloconexoesplurais.com.br/;Crescimento;Marketplace;Comércio e Varejo;Impacto Socioambiental;B2B e B2C;Abalô Conexões Plurais;CEI UFRGS
Metropolitana e Litoral Norte;Porto Alegre;https://academicum.ai;Crescimento;Assinatura;Educação e Ensino;EdTech;B2B2C;academicum.ai;PLATAFORMA
Metropolitana e Litoral Norte;Novo Hamburgo;https://acaoweb.com.br/;Não Informado;Não Informado;Comércio e Varejo;RetailTech;B2B;ACAO WEB SITES E MARKETING DIGITAL;INSTITUTO CALDEIRA
Metropolitana e Litoral Norte;Porto Alegre;https://aceleradr.com/;Validação;Assinatura;Consultorias e Treinamentos;HealthTech;B2B;AceleraDR;NÃO INFORMADO
Metropolitana e Litoral Norte;São Leopoldo;https://www.linkedin.com/company/acidtecnologia/;Escala;Não Informado;TI (Tecnologia da Informação);ITTech;B2B;ACID;TECNOSINOS
Metropolitana e Litoral Norte;Porto Alegre;https://actgene.com.br/;Crescimento;Transação;Biotecnologia;BioTech;B2C;ACTGene Análises Moleculares Ltda.;IECBIOT UFRGS
Metropolitana e Litoral Norte;Porto Alegre;https://www.adapte.com.vc/;Validação;Assinatura;Impacto Socioambiental;EdTech;B2B;Adapte;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://adoc.com.br/;Crescimento;Serviços Baseados em Taxas;Produtividade;LawTech;B2B2C;aDoc;INSTITUTO CALDEIRA
Metropolitana e Litoral Norte;São Leopoldo;https://www.adtools.com.br/#contact;Validação;Assinatura;TI (Tecnologia da Informação);ITTech;B2B;AdTools;NÃO INFORMADO
Metropolitana e Litoral Norte;Gravataí;https://www.aegis.com.br/;Crescimento;Outros;Segurança;SecurityTech;B2B e B2G;Aegis Lanternas Táticas;SMICT GRAVATAÍ
Metropolitana e Litoral Norte;Porto Alegre;https://aegro.com.br/;Escala;Assinatura;TI (Tecnologia da Informação);AgTech;B2B e B2C;AEGRO INFORMATICA LIMITADA;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://agidesk.com/br;Não Informado;Assinatura;TI (Tecnologia da Informação);ITTech;B2B;Agidesk;INSTITUTO CALDEIRA
Metropolitana e Litoral Norte;Porto Alegre;https://www.agilmedrs.com.br/;Crescimento;Transação;Saúde e Bem-Estar;HealthTech;B2C;AGIL MED;NÃO INFORMADO
Metropolitana e Litoral Norte;Novo Hamburgo;https://agilizai.tech/;Crescimento;Assinatura;IA (Inteligência Artificial);ITTech;Não Informado;AgilizAI;NÃO INFORMADO
Metropolitana e Litoral Norte;Porto Alegre;https://www.agimob.app/;Validação;Transação;Financeiro;PropTech;B2B e B2C;Agimob;NÃO INFORMADO
